year,city,country,avg_temp,5Y MA,10Y MA
1743,New York,United States,3.26,,
1744,New York,United States,11.66,,
1745,New York,United States,1.13,,
1746,New York,United States,,,
1747,New York,United States,,5.35,
1748,New York,United States,,6.395,
1749,New York,United States,,1.13,
1750,New York,United States,10.07,10.07,
1751,New York,United States,10.79,10.43,
1752,New York,United States,2.81,7.89,6.62
1753,New York,United States,9.52,8.2975,7.663333333
1754,New York,United States,9.88,8.614,7.366666667
1755,New York,United States,6.61,7.922,8.28
1756,New York,United States,9.94,7.752,8.517142857
1757,New York,United States,8.89,8.968,8.56375
1758,New York,United States,8.15,8.694,8.517777778
1759,New York,United States,9.01,8.52,8.567
1760,New York,United States,7.73,8.744,8.333
1761,New York,United States,10.18,8.792,8.272
1762,New York,United States,9.55,8.924,8.946
1763,New York,United States,7.23,8.74,8.717
1764,New York,United States,9.55,8.848,8.684
1765,New York,United States,8.96,9.094,8.919
1766,New York,United States,10.09,9.076,8.934
1767,New York,United States,8.52,8.87,8.897
1768,New York,United States,8.67,9.158,8.949
1769,New York,United States,9.1,9.068,8.958
1770,New York,United States,9.04,9.084,9.089
1771,New York,United States,10.18,9.102,9.089
1772,New York,United States,9.64,9.326,9.098
1773,New York,United States,10.08,9.608,9.383
1774,New York,United States,9.52,9.692,9.38
1775,New York,United States,10.24,9.932,9.508
1776,New York,United States,9.13,9.722,9.412
1777,New York,United States,8.77,9.548,9.437
1778,New York,United States,6.89,8.91,9.259
1779,New York,United States,0.25,7.056,8.374
1780,New York,United States,,6.26,8.3
1781,New York,United States,9.79,6.425,8.256666667
1782,New York,United States,9.15,6.52,8.202222222
1783,New York,United States,8.81,7,8.061111111
1784,New York,United States,8.4,9.0375,7.936666667
1785,New York,United States,8.49,8.928,7.742222222
1786,New York,United States,8.98,8.766,7.725555556
1787,New York,United States,8.97,8.73,7.747777778
1788,New York,United States,9.77,8.922,8.067777778
1789,New York,United States,9.42,9.126,9.086666667
1790,New York,United States,9.39,9.306,9.117
1791,New York,United States,9.37,9.384,9.075
1792,New York,United States,8.72,9.334,9.032
1793,New York,United States,9.88,9.356,9.139
1794,New York,United States,9.83,9.438,9.282
1795,New York,United States,9.21,9.402,9.354
1796,New York,United States,8.97,9.322,9.353
1797,New York,United States,8.85,9.348,9.341
1798,New York,United States,9.71,9.314,9.335
1799,New York,United States,9.19,9.186,9.312
1800,New York,United States,9.58,9.26,9.331
1801,New York,United States,10,9.466,9.394
1802,New York,United States,10.29,9.754,9.551
1803,New York,United States,10.07,9.826,9.57
